ANIO,MES,FECHA,K_ACCESO_INTERNET,TECNO_ACCESO_INTERNET,A_TOTAL
2000,12,15Dec2000,01,Cable coaxial,"8,617"
2000,12,15Dec2000,02,DSL,"101,466"
2000,12,15Dec2000,07,Otras tecnologías,50
2001,12,15Dec2001,01,Cable coaxial,"64,476"
2001,12,15Dec2001,02,DSL,"131,352"
2001,12,15Dec2001,07,Otras tecnologías,679
2002,12,15Dec2002,01,Cable coaxial,"130,923"
2002,12,15Dec2002,02,DSL,"165,556"
2002,12,15Dec2002,07,Otras tecnologías,"1,518"
2003,12,15Dec2003,01,Cable coaxial,"231,224"
2003,12,15Dec2003,02,DSL,"212,935"
2003,12,15Dec2003,04,Satelital,"3,031"
2003,12,15Dec2003,05,Terrestre fijo inalámbrico,"3,750"
2003,12,15Dec2003,07,Otras tecnologías,"1,861"
2004,12,15Dec2004,01,Cable coaxial,"404,550"
2004,12,15Dec2004,02,DSL,"644,662"
2004,12,15Dec2004,04,Satelital,"4,880"
2004,12,15Dec2004,05,Terrestre fijo inalámbrico,"5,742"
2004,12,15Dec2004,07,Otras tecnologías,"1,954"
2005,12,15Dec2005,01,Cable coaxial,"689,242"
2005,12,15Dec2005,02,DSL,"1,113,725"
2005,12,15Dec2005,04,Satelital,"16,549"
2005,12,15Dec2005,05,Terrestre fijo inalámbrico,"22,364"
2005,12,15Dec2005,07,Otras tecnologías,"2,555"
2006,12,15Dec2006,01,Cable coaxial,"957,315"
2006,12,15Dec2006,02,DSL,"1,863,829"
2006,12,15Dec2006,04,Satelital,"30,191"
2006,12,15Dec2006,05,Terrestre fijo inalámbrico,"56,894"
2006,12,15Dec2006,07,Otras tecnologías,"3,155"
2007,12,15Dec2007,01,Cable coaxial,"1,214,870"
2007,12,15Dec2007,02,DSL,"2,959,664"
2007,12,15Dec2007,04,Satelital,"36,031"
2007,12,15Dec2007,05,Terrestre fijo inalámbrico,"59,239"
2007,12,15Dec2007,07,Otras tecnologías,"3,822"
2008,12,15Dec2008,01,Cable coaxial,"1,615,564"
2008,12,15Dec2008,02,DSL,"5,274,686"
2008,12,15Dec2008,04,Satelital,"46,676"
2008,12,15Dec2008,05,Terrestre fijo inalámbrico,"162,451"
2008,12,15Dec2008,07,Otras tecnologías,"6,589"
2009,12,15Dec2009,01,Cable coaxial,"1,875,608"
2009,12,15Dec2009,02,DSL,"6,813,302"
